SITE;MONTH;Acanthobodilus_immundus;Acrossus_depressus;Acrossus_luridus;Acrossus_rufipes;Agrilinus_ater;Aphodius_fimetarius;Biralus_satellitius;Bodilopsis_rufus;Bodilus_lugens;Calamosternus_granarius;Chilothorax_distinctus;Colobopterus_erraticus;Coprimorphus_scrutator;Copris_lunaris;Esymus_pusillus;Euoniticellus_fulvus;Euorodalus_coenosus;Euorodalus_paracoenosus;Eupleurus_subterraneus;Geotrupes_spiniger;Geotrupes_stercorarius;Labarrus_lividus;Limarus_maculatus;Melinopterus_consputus;Melinopterus_prodromus;Melinopterus_sphacelatus;Nialus_varians;Onthophagus_coenobita;Onthophagus_fracticornis;Onthophagus_furcatus;Onthophagus_illyricus;Onthophagus_joannae;Onthophagus_lemur;Onthophagus_medius;Onthophagus_nuchicornis;Onthophagus_ovatus;Onthophagus_ruficapillus;Onthophagus_taurus;Onthophagus_vacca;Onthophagus_verticicornis;Onthophagus_vitulus;Otophorus_haemorrhoidalis;Oxyomus_sylvestris;Phalacronothus_biguttatus;Plagiogonus_arenarius;Planolinoides_borealis;Pleurophorus_caesus;Pleurophorus_pannonicus;Rhodaphodius_foetens;Sigorus_porcus;Sisyphus_schaefferi;Subrinus_sturmi;Teuchestes_fossor;Trichonotulus_scrofa;Trypocopris_vernalis;Volinus_sticticus
ALB;JUN;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DON;JUN;0;0;0;0;0;0;1;1;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;1;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;1
ECK;JUN;1;0;0;0;0;0;0;1;1;1;0;1;1;0;1;1;0;1;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;1;1;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1
EGG;MAY;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FMG;JUN;1;0;1;0;0;0;0;0;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0
GRA;JUN;1;0;0;0;0;1;0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1
HOH;JUN;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0
KIR;JUN;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
MIT;APR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
SKA;APR;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
