SITE;LONG;LAT;SR;SA_MONTH;REGION;HECKEN;GEWAESSER;GRASS;INFRA;AGRI;SETTL;SONSTIGES;WOOD;PAST;pasture_area;GVE;n_livestock;gr_period;gr_history;anth
ALB;16.796103899999999;47.774788000000001;2;JUN;SEEW;0,665;30,347;55,412;0;168,825;18,215;0;1,959;33,585;200;0,25;100;6;30;1
DON;16.640416999999999;47.900193999999999;21;JUN;LEITH;0;0;0;0;102,559;76,024;0;109,539;20,893;4,27;0,47;8;3;150;1
ECK;16.785316000000002;48.134777000000000;22;JUN;MARC;0;4,214;17,054;3,416;65,493;4,81;0;204,758;9,261;3,5;2,86;20;12;20;0
EGG;16.282990999999999;47.878165000000003;14;MAY;STEIN;0;0;89,917;4,354;13,626;0;148,654;3,627;48,839;45;0,5;23;12;15;0
FMG;16.624037999999999;48.294797000000003;15;JUN;MARC;0;0;61,592;0;112,046;1,541;121,995;0;5,842;4,19;0,42;6;3,5;7;0
GRA;16.484659000000001;48.019120999999998;18;JUN;STEIN;12,747;0;2,007;0;206,774;72,543;0;11,002;3,941;4;1,75;14;12;5;0
HOH;16.937156999999999;48.217714999999998;12;JUN;WEIN;0;23,213;38,263;0;84,173;0;0;161,886;1,465;2,4;0,24;7;2;17;1
KIR;16.930319999999998;48.603282999999998;12;JUN;SEEW;0;16,97;4,409;0;228,812;0;0;0;58,818;200;0,25;100;6;20;1
L1;16.777000000000001;47.755000000000003;4;APR;WEIN;2,908;0;26,841;0;145,651;0;0;10,022;123,592;110;1,39;230;8;14;1
L2;16.445993000000001;48.771765000000002;5;MAY;THAY;0;0,163;83,28;0;110,982;23,833;0;74,906;15,849;1,4;2,14;5;8;7;1
L3;15.998790000000000;48.811280600000003;9;APR;WEIN;5,112;7,076;25,113;5,195;173,791;1,007;0;70,286;21,427;14;0,13;3;8;11;0
L4;16.675616000000002;48.772993000000000;10;APR;WEIN;0,671;85,925;8,788;5,689;196,04;0;0;8,723;3,152;5,1;0,35;3;8;6;0
L5;16.725446000000002;48.765157000000002;11;MAY;THAY;3,244;0,365;5,937;0;170,683;22,304;0;48,064;58,412;39;0,17;11;8;11;1
L6;15.965408600000000;48.850246700000000;7;APR;WEIN;0;63,044;58,706;1,601;24,905;30,093;0;108,221;21,436;11,2;0,8;15;8;14;1
L7;16.801984000000001;48.808866000000002;8;MAY;THAY;3,08;0,755;29,115;0;168,747;7,015;0;85,501;14,798;9,4;0,32;5;8;5;0
L8;15.991830000000000;48.807357000000003;7;MAY;THAY;2,863;0,364;5,533;0;112,594;4,841;0;123,121;59,697;10,6;0,34;6;8;5;0
LAA;15.964789000000000;48.845692999999997;15;JUN;WEIN;0,937;5,938;8,31;1,316;140,2;96,982;3,882;41,493;9,957;1,23;1,32;13;3;15;1
LTG;16.382097999999999;48.728326000000003;24;JUN;WIEN;0,366;2,985;41,218;0;4,611;55,272;0;166,083;38,479;45;0,49;22;12;63;0
LAN;16.855197000000000;47.763193000000001;12;JUN;SEEW;0;38,597;0;0;134,672;0;0;0;135,737;800;0,025;40;6;150;1
MAN;16.250088000000002;48.165756999999999;12;JUN;STEIN;5,908;0;12,045;0;247,302;6,392;3,872;0;33,497;18;1;12;8;24;1
MAR;16.572434000000001;47.986629999999998;13;JUN;MARC;0,282;15,316;13,677;0;47,716;32,503;0;162,89;36,622;38,17;0,48;19;12;7;0
MGN;16.900991000000001;48.283628999999998;20;APR;MARC;2,873;0;79,815;0;144,7;0;59,195;10,119;12,312;12,05;0,35;18;4,5;7;0
NIC;16.647648000000000;48.286293999999998;18;JUN;PARN;2,052;0;7,969;6,573;247,613;2,069;4,339;29,649;8,733;7;0,32;9;6;150;0
OGG;17.056063000000002;47.954875999999999;11;JUN;LEITH;0;0;173,227;0;125,133;0;0;0;10,65;10,4;0,67;2;6;10;1
PRZ;16.690926999999999;47.865135000000002;15;JUN;SEEW;1,131;185,778;18,332;0;70,769;1,18;0;0;31,822;90;0,13;12;12;24;1
PUR;16.763000000000002;47.774000000000001;17;JUN;LEITH;0;0;7,936;0;142,751;37,213;0;94,345;26,767;21;0,32;11;8;150;0
RAB;16.679361000000000;47.921278000000001;12;JUN;WEIN;0,255;11,463;16,026;0;193,718;26,504;0;47,991;12,899;16;0,41;13;6;2;0
SAS;16.911715999999998;48.655652000000003;6;JUN;MARC;7,36;16,097;11,293;0;243,846;0,441;1,063;24,069;4,834;5;0,41;11;1,5;5;0
HOF;16.871786000000000;48.295107000000002;14;JUN;MARC;3,416;0;1,124;0;186,412;40,503;3,083;53,057;21,408;3,2;3,1;10;12;15;1
SEE;16.780000000000001;47.805000000000000;12;JUN;SEEW;0;215,306;9,994;0;53,195;0;0;3,863;26,651;25;0,6;30;6;14;1
SGR;16.796900000000001;47.734399000000003;13;JUN;SEEW;0;67,128;0;0;135,11;0;0;0;106,77;860;0,17;300;6;31;1
SHW;16.051168600000000;47.826744400000003;15;JUN;HOHE;0,525;0;5,64;0;60,047;34,407;0;171,167;37,227;40;0,43;52;4;150;0
SUL;16.600743000000001;47.786414000000001;22;JUN;LEITH;0;0;2,356;0;183,583;3,204;0;0;119,87;23,07;0,94;64;6;6;1
UNT;16.768557000000001;48.256067999999999;15;APR;MARC;0,543;0,34;17,46;6,58;160,971;0,325;119,069;0;3,718;8,6;0,19;10;2;7;0
WER;16.746062999999999;48.294817999999999;12;JUN;MARC;0;0;0;0;21,138;0;0;268,81;19,062;17,75;0,22;16;3;7;0
ZUR;17.014261000000001;47.966594000000001;23;JUN;PARN;4,325;0;10,909;6,922;246,062;15,14;0;5,97;19,667;20;0,4;8;6;150;0
