SITE;SPECIES;IR;SA_MONTH;AGRI_2022;SETTL_2022;WOOD_2022;PAST_2022;AGRI_1990;SETTL_1990;WOOD_1990;PAST_1990;AGRI_1950;SETTL_1950;WOOD_1950;PAST_1950;AGRI_1900;SETTL_1900;WOOD_1900;PAST_1900
ALB;Calamosternus granarius;1;SUMMER;168,825;18,215;1,959;33,585;128,585;10,616;2,154;46,468;136,494;2,307;0;81,242;74,175;0;0;137,524
ALB;Onthophagus ruficapillus;2;SUMMER;168,825;18,215;1,959;33,585;128,585;10,616;2,154;46,468;136,494;2,307;0;81,242;74,175;0;0;137,524
DON;Biralus satellitius;1;SUMMER;102,559;76,024;109,539;20,893;119,604;66,489;105,393;17,526;142,861;42,86;87,334;35,958;140,344;28,216;89,973;45,185
DON;Bodilopsis rufus;1;SUMMER;102,559;76,024;109,539;20,893;119,604;66,489;105,393;17,526;142,861;42,86;87,334;35,958;140,344;28,216;89,973;45,185
DON;Bodilus lugens;1;SUMMER;102,559;76,024;109,539;20,893;119,604;66,489;105,393;17,526;142,861;42,86;87,334;35,958;140,344;28,216;89,973;45,185
DON;Colobopterus erraticus;2;SUMMER;102,559;76,024;109,539;20,893;119,604;66,489;105,393;17,526;142,861;42,86;87,334;35,958;140,344;28,216;89,973;45,185
DON;Coprimorphus scrutator;6;SUMMER;102,559;76,024;109,539;20,893;119,604;66,489;105,393;17,526;142,861;42,86;87,334;35,958;140,344;28,216;89,973;45,185
DON;Esymus pusillus;1;SUMMER;102,559;76,024;109,539;20,893;119,604;66,489;105,393;17,526;142,861;42,86;87,334;35,958;140,344;28,216;89,973;45,185
DON;Euoniticellus fulvus;74;SUMMER;102,559;76,024;109,539;20,893;119,604;66,489;105,393;17,526;142,861;42,86;87,334;35,958;140,344;28,216;89,973;45,185
DON;Euorodalus paracoenosus;3;SUMMER;102,559;76,024;109,539;20,893;119,604;66,489;105,393;17,526;142,861;42,86;87,334;35,958;140,344;28,216;89,973;45,185
DON;Onthophagus coenobita;38;SUMMER;102,559;76,024;109,539;20,893;119,604;66,489;105,393;17,526;142,861;42,86;87,334;35,958;140,344;28,216;89,973;45,185
DON;Onthophagus fracticornis;2;SUMMER;102,559;76,024;109,539;20,893;119,604;66,489;105,393;17,526;142,861;42,86;87,334;35,958;140,344;28,216;89,973;45,185
DON;Onthophagus illyricus;28;SUMMER;102,559;76,024;109,539;20,893;119,604;66,489;105,393;17,526;142,861;42,86;87,334;35,958;140,344;28,216;89,973;45,185
DON;Onthophagus joannae;3;SUMMER;102,559;76,024;109,539;20,893;119,604;66,489;105,393;17,526;142,861;42,86;87,334;35,958;140,344;28,216;89,973;45,185
DON;Onthophagus ruficapillus;4;SUMMER;102,559;76,024;109,539;20,893;119,604;66,489;105,393;17,526;142,861;42,86;87,334;35,958;140,344;28,216;89,973;45,185
DON;Onthophagus taurus;44;SUMMER;102,559;76,024;109,539;20,893;119,604;66,489;105,393;17,526;142,861;42,86;87,334;35,958;140,344;28,216;89,973;45,185
DON;Onthophagus verticicornis;119;SUMMER;102,559;76,024;109,539;20,893;119,604;66,489;105,393;17,526;142,861;42,86;87,334;35,958;140,344;28,216;89,973;45,185
DON;Otophorus haemorrhoidalis;1;SUMMER;102,559;76,024;109,539;20,893;119,604;66,489;105,393;17,526;142,861;42,86;87,334;35,958;140,344;28,216;89,973;45,185
DON;Plagiogonus arenarius;1;SUMMER;102,559;76,024;109,539;20,893;119,604;66,489;105,393;17,526;142,861;42,86;87,334;35,958;140,344;28,216;89,973;45,185
DON;Sisyphus schaefferi;1;SUMMER;102,559;76,024;109,539;20,893;119,604;66,489;105,393;17,526;142,861;42,86;87,334;35,958;140,344;28,216;89,973;45,185
DON;Teuchestes fossor;1;SUMMER;102,559;76,024;109,539;20,893;119,604;66,489;105,393;17,526;142,861;42,86;87,334;35,958;140,344;28,216;89,973;45,185
DON;Trypocopris vernalis;2;SUMMER;102,559;76,024;109,539;20,893;119,604;66,489;105,393;17,526;142,861;42,86;87,334;35,958;140,344;28,216;89,973;45,185
DON;Volinus sticticus;2;SUMMER;102,559;76,024;109,539;20,893;119,604;66,489;105,393;17,526;142,861;42,86;87,334;35,958;140,344;28,216;89,973;45,185
ECK;Acanthobodilus immundus;12;SUMMER;65,493;4,81;204,758;9,261;140,711;0,798;138,479;0;79,409;0,839;185,264;0;38,582;2,019;167,61;8,221
ECK;Bodilopsis rufus;21;SUMMER;65,493;4,81;204,758;9,261;140,711;0,798;138,479;0;79,409;0,839;185,264;0;38,582;2,019;167,61;8,221
ECK;Bodilus lugens;14;SUMMER;65,493;4,81;204,758;9,261;140,711;0,798;138,479;0;79,409;0,839;185,264;0;38,582;2,019;167,61;8,221
ECK;Calamosternus granarius;2;SUMMER;65,493;4,81;204,758;9,261;140,711;0,798;138,479;0;79,409;0,839;185,264;0;38,582;2,019;167,61;8,221
ECK;Colobopterus erraticus;67;SUMMER;65,493;4,81;204,758;9,261;140,711;0,798;138,479;0;79,409;0,839;185,264;0;38,582;2,019;167,61;8,221
ECK;Coprimorphus scrutator;21;SUMMER;65,493;4,81;204,758;9,261;140,711;0,798;138,479;0;79,409;0,839;185,264;0;38,582;2,019;167,61;8,221
ECK;Esymus pusillus;104;SUMMER;65,493;4,81;204,758;9,261;140,711;0,798;138,479;0;79,409;0,839;185,264;0;38,582;2,019;167,61;8,221
ECK;Euoniticellus fulvus;29;SUMMER;65,493;4,81;204,758;9,261;140,711;0,798;138,479;0;79,409;0,839;185,264;0;38,582;2,019;167,61;8,221
ECK;Euorodalus paracoenosus;20;SUMMER;65,493;4,81;204,758;9,261;140,711;0,798;138,479;0;79,409;0,839;185,264;0;38,582;2,019;167,61;8,221
ECK;Labarrus lividus;4;SUMMER;65,493;4,81;204,758;9,261;140,711;0,798;138,479;0;79,409;0,839;185,264;0;38,582;2,019;167,61;8,221
ECK;Nialus varians;1;SUMMER;65,493;4,81;204,758;9,261;140,711;0,798;138,479;0;79,409;0,839;185,264;0;38,582;2,019;167,61;8,221
ECK;Onthophagus fracticornis;9;SUMMER;65,493;4,81;204,758;9,261;140,711;0,798;138,479;0;79,409;0,839;185,264;0;38,582;2,019;167,61;8,221
ECK;Onthophagus illyricus;34;SUMMER;65,493;4,81;204,758;9,261;140,711;0,798;138,479;0;79,409;0,839;185,264;0;38,582;2,019;167,61;8,221
ECK;Onthophagus ruficapillus;19;SUMMER;65,493;4,81;204,758;9,261;140,711;0,798;138,479;0;79,409;0,839;185,264;0;38,582;2,019;167,61;8,221
ECK;Onthophagus taurus;73;SUMMER;65,493;4,81;204,758;9,261;140,711;0,798;138,479;0;79,409;0,839;185,264;0;38,582;2,019;167,61;8,221
ECK;Onthophagus vacca;5;SUMMER;65,493;4,81;204,758;9,261;140,711;0,798;138,479;0;79,409;0,839;185,264;0;38,582;2,019;167,61;8,221
ECK;Onthophagus verticicornis;8;SUMMER;65,493;4,81;204,758;9,261;140,711;0,798;138,479;0;79,409;0,839;185,264;0;38,582;2,019;167,61;8,221
ECK;Otophorus haemorrhoidalis;2;SUMMER;65,493;4,81;204,758;9,261;140,711;0,798;138,479;0;79,409;0,839;185,264;0;38,582;2,019;167,61;8,221
ECK;Oxyomus sylvestris;1;SUMMER;65,493;4,81;204,758;9,261;140,711;0,798;138,479;0;79,409;0,839;185,264;0;38,582;2,019;167,61;8,221
ECK;Pleurophorus caesus;1;SUMMER;65,493;4,81;204,758;9,261;140,711;0,798;138,479;0;79,409;0,839;185,264;0;38,582;2,019;167,61;8,221
ECK;Sisyphus schaefferi;3;SUMMER;65,493;4,81;204,758;9,261;140,711;0,798;138,479;0;79,409;0,839;185,264;0;38,582;2,019;167,61;8,221
ECK;Volinus sticticus;3;SUMMER;65,493;4,81;204,758;9,261;140,711;0,798;138,479;0;79,409;0,839;185,264;0;38,582;2,019;167,61;8,221
EGG;Acrossus luridus;1;SPRING;13,626;0;3,627;48,839;122,661;0;0;0;135,465;0;0;0;190,359;1,039;0;110,614
EGG;Aphodius fimetarius;6;SPRING;13,626;0;3,627;48,839;122,661;0;0;0;135,465;0;0;0;190,359;1,039;0;110,614
EGG;Calamosternus granarius;102;SPRING;13,626;0;3,627;48,839;122,661;0;0;0;135,465;0;0;0;190,359;1,039;0;110,614
EGG;Colobopterus erraticus;29;SPRING;13,626;0;3,627;48,839;122,661;0;0;0;135,465;0;0;0;190,359;1,039;0;110,614
