SITE;SR;IR;SR_open;IR_open;SR_closed;IR_closed;SR_pos;IR_pos;SR_neg;IR_neg;SR_end;IR_end;SR_para;IR_para;SA_MONTH;REGION;HECKEN_2022;GEWAESSER_2022;GRASS_2022;INFRA_2022;AGRI_2022;SETTL_2022;SONSTIGES_2022;WOOD_2022;PAST_2022;pasture_area_2022;GVE_2022;n_livestock_2022;gr_period_2022;gr_history_2022;anth_2022;HECKEN_1990;GEWAESSER_1990;GRASS_1990;INFRA_1990;AGRI_1990;SETTL_1990;SONSTIGES_1990;WOOD_1990;PAST_1990;n_livestock_1990;gr_history_1990;anth_1990;HECKEN_1950;GEWAESSER_1950;GRASS_1950;INFRA_1950;AGRI_1950;SETTL_1950;SONSTIGES_1950;WOOD_1950;PAST_1950;n_livestock_1950;gr_history_1950;anth_1950;HECKEN_1900;GEWAESSER_1900;GRASS_1900;INFRA_1900;AGRI_1900;SETTL_1900;SONSTIGES_1900;WOOD_1900;PAST_1900;n_livestock_1900;gr_history_1900;anth_1900;Acanthobodilus_immundus;Acrossus_depressus;Acrossus_luridus;Acrossus_rufipes;Agrilinus_ater;Aphodius_fimetarius;Biralus_satellitius;Bodilopsis_rufus;Bodilus_lugens;Calamosternus_granarius;Chilothorax_distinctus;Colobopterus_erraticus;Coprimorphus_scrutator;Copris_lunaris;Esymus_pusillus;Euoniticellus_fulvus;Euorodalus_coenosus;Euorodalus_paracoenosus;Eupleurus_subterraneus;Geotrupes_spiniger;Geotrupes_stercorarius;Labarrus_lividus;Limarus_maculatus;Melinopterus_consputus;Melinopterus_prodromus;Melinopterus_sphacelatus;Nialus_varians;Onthophagus_coenobita;Onthophagus_fracticornis;Onthophagus_furcatus;Onthophagus_illyricus;Onthophagus_joannae;Onthophagus_lemur;Onthophagus_medius;Onthophagus_nuchicornis;Onthophagus_ovatus;Onthophagus_ruficapillus;Onthophagus_taurus;Onthophagus_vacca;Onthophagus_verticicornis;Onthophagus_vitulus;Otophorus_haemorrhoidalis;Oxyomus_sylvestris;Phalacronothus_biguttatus;Plagiogonus_arenarius;Planolinoides_borealis;Pleurophorus_caesus;Pleurophorus_pannonicus;Rhodaphodius_foetens;Sigorus_porcus;Sisyphus_schaefferi;Subrinus_sturmi;Teuchestes_fossor;Trichonotulus_scrofa;Trypocopris_vernalis;Volinus_sticticus;border_2022;border_1990;border_1950;border_1900;sum.pas.woo_22;sum.pas.woo_90;sum.pas.woo_50;sum.pas.woo_00;border.wood_2022;border.wood_1990;border.wood_1950;border.wood_1900
ALB;2;3;1;2;1;1;0;0;2;3;1;1;;2;SUMMER;SEEW;0,665;30,347;55,412;0;168,825;18,215;0;1,959;33,585;200;0,25;100;6;30;1;0;81,757;39,428;0;128,585;10,616;0;2,154;46,468;;0;0;0;57,523;31,44;0;136,494;2,307;0;0;81,242;;0;0;0;83,837;10,415;3,055;74,175;0;0;0;137,524;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;233,63;302,22;0;0;35,544;48,622;81,242;137,524;762,14;1061,999;0;0
DON;21;335;5;83;16;252;4;5;12;178;10;18;10;316;SUMMER;LEITH;0;0;0;0;102,559;76,024;0;109,539;20,893;4,27;0,47;8;3;150;1;0;0;0;0;119,604;66,489;0;105,393;17,526;;118;0;0;0;0;0;142,861;42,86;0;87,334;35,958;;78;0;0;0;2,594;2,7;140,344;28,216;0;89,973;45,185;;28;0;0;0;0;0;0;0;1;1;1;0;0;2;6;0;1;74;0;3;0;0;0;0;0;0;0;0;0;38;2;0;28;3;0;0;0;0;4;44;0;119;0;1;0;0;1;0;0;0;0;0;1;0;1;0;2;2;2104,01;1464,49;1488,38;2886,62;130,432;122,919;123,292;135,158;12324,95;12827,3;9499,523;11162,637
ECK;22;453;8;101;14;352;6;144;12;153;11;204;8;244;SUMMER;MARC;0;4,214;17,054;3,416;65,493;4,81;0;204,758;9,261;3,5;2,86;20;12;20;0;3,754;4,581;15,527;5,157;140,711;0,798;0;138,479;0;;0;0;4,314;3,552;30,883;4,748;79,409;0,839;0;185,264;0;;0;0;3,822;19,316;69,438;0;38,582;2,019;0;167,61;8,221;;0;0;12;0;0;0;0;0;0;21;14;2;0;67;21;0;104;29;0;20;0;0;0;4;0;0;0;0;1;0;9;0;34;0;0;0;0;0;19;73;5;8;0;2;1;0;0;0;1;0;0;0;3;0;0;0;0;3;1600,32;0;0;0;214,019;138,479;185,264;175,831;21257,51;19798,622;22495,757;32395,37
EGG;14;211;6;49;8;162;2;5;9;185;5;114;9;97;SPRING;STEIN;0;0;89,917;4,354;13,626;0;148,654;3,627;48,839;45;0,5;23;12;15;0;0;0;125,501;0;122,661;0;60,855;0;0;;0;0;0;0;173,552;0;135,465;0;0;0;0;;0;0;0;7,006;0;0;190,359;1,039;0;0;110,614;;0;0;0;0;1;0;0;6;0;0;0;102;0;29;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;36;0;0;17;1;1;7;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52,466;0;0;110,614;882,94;0;0;0
FMG;15;143;6;74;9;69;4;39;7;40;10;67;5;76;SUMMER;MARC;0;0;61,592;0;112,046;1,541;121,995;0;5,842;4,19;0,42;6;3,5;7;0;0;0;0;11,218;250,679;0;47,116;0;0;;0;0;0;0;130,184;16,565;162,264;0;0;0;0;;0;0;0;0;0;0;309,013;0;0;0;0;;0;0;34;0;1;0;0;0;0;0;12;0;0;14;9;0;1;22;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;33;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;5,842;0;0;0;0;0;0;0
GRA;18;1330;8;397;10;933;4;17;11;1251;10;30;8;1300;SUMMER;STEIN;12,747;0;2,007;0;206,774;72,543;0;11,002;3,941;4;1,75;14;12;5;0;49,194;0;6,767;0;176,399;61,179;0;15,478;0;;0;0;1,039;0;22,754;0;224,71;38,376;0;2,235;19,901;;0;0;0;11,004;101,337;5,206;93,547;9,34;0;0;88,582;;0;0;3;0;0;0;0;6;0;0;1;0;0;881;3;0;11;36;0;0;0;0;0;0;0;0;0;0;0;2;0;0;10;0;0;1;0;0;353;16;1;0;0;0;0;0;1;0;0;0;2;0;0;1;1;0;0;1;0;0;0;0;14,943;15,478;22,136;88,582;3324,82;6169,381;1496,482;0
HOH;12;55;2;3;10;52;3;30;5;13;7;41;5;14;SUMMER;WEIN;0;23,213;38,263;0;84,173;0;0;161,886;1,465;2,4;0,24;7;2;17;1;4,825;5,453;48,422;0;93,702;0;0;145,057;11,545;;0;0;0;32,153;21,876;0;82,862;0;0;166,24;5,872;;0;0;0;18,141;100,328;3,198;42,181;0,182;0;124,797;20,179;;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;4;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;8;0;1;0;3;0;25;0;0;0;0;0;0;1;0;0;0;1;0;0;0;376,23;2031,25;292,41;354,59;163,351;156,602;172,112;144,976;23409,25;22337,072;12240,896;23093,079
KIR;12;128;6;90;6;38;4;19;5;49;6;37;6;91;SUMMER;SEEW;0;16,97;4,409;0;228,812;0;0;0;58,818;200;0,25;100;6;20;1;0;18,089;0;0;233,557;1,314;0;0;56,047;;0;0;0;41,743;0;0;172,483;0;0;0;94,782;;0;0;0;28,521;18,362;0;49,487;0;0;0;212,639;;0;0;2;0;0;0;0;0;0;2;0;0;0;0;17;1;0;55;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;12;0;18;4;0;0;0;2;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;58,818;56,047;94,782;212,639;0;0;0;0
L1;4;10;0;0;4;10;1;6;2;3;1;6;3;4;SPRING;WEIN;2,908;0;26,841;0;145,651;0;0;10,022;123,592;110;1,39;230;8;14;1;5,452;0;9,31;0;287,061;0;0;0;7,193;;0;0;6,043;0;17,63;0;277,191;2,977;0;0;5,176;;0;0;0;0;33,07;6,705;224,496;1,884;0;0;42,862;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;65,64;0;0;0;133,614;7,193;5,176;42,862;4606,39;0;0;0
L3;9;109;0;0;9;109;0;0;7;103;5;25;2;6;SPRING;WEIN;5,112;7,076;25,113;5,195;173,791;1,007;0;70,286;21,427;14;0,13;3;8;11;0;1,962;1,558;19,188;0;188,204;1,423;0;33,791;62,886;;0;0;0;2,523;41,813;0;191,246;0;0;20,84;52,59;;0;0;0;9,718;37,001;2,15;143,777;0;5,11;0;111,254;;0;0;0;0;6;0;1;10;0;0;0;3;0;0;0;0;0;0;0;0;5;0;0;0;0;0;17;61;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;810,77;181,55;681;0;91,713;96,677;73,43;111,254;14922,77;5054,611;5086,836;0
